,counts.CD8T,counts.CD4T,counts.NK,counts.Bcell,counts.Mono,counts.Neu
GSM1051594_7800246137_R06C02,0.138497870435636,0.12172592014770599,0.0387089521890884,0.0751493312174137,0.0282187554677588,0.6078569431994479
GSM1051595_7800246140_R01C01,0.00493908057811805,0.141391213594311,0.0555938600166594,0.0417109749569032,0.0706777175681572,0.6733855874745911
GSM1051596_7800246140_R02C01,0.0765051051510451,0.139350051593032,0.0602664321337385,0.0318367889119655,0.0609815255958171,0.6322320993013271
GSM1051597_7800246140_R03C01,0.0860975577003133,0.110044917582497,0.0546741893886136,0.0252120364608759,0.0413298058511463,0.6935222645231349
GSM1051598_7800246140_R04C01,0.0255311972923955,0.0789309770318778,0.041094477811395,0.0137853388617847,0.111933891971414,0.736151782180521
GSM1051599_7800246140_R05C01,0.0560071089645703,0.0931643972125973,0.0134341615419654,0.0396650524162375,0.0525594141543069,0.7375009142591781
GSM1051600_7800246140_R06C01,0.0400628364598196,0.0607028972366611,0.00443312291611714,0.0189679398624734,0.077751086553543,0.803105935067937
GSM1051601_7800246140_R01C02,0.0456143305929639,0.19203677869680497,0.0768188758189009,0.0251194313967662,0.0402145741413107,0.61643724567639
GSM1051602_7800246140_R02C02,0.0417292680304318,0.10712028003788301,0.0879003270331092,0.0228799280864293,0.0575844024805522,0.6869388768702149
GSM1051603_7800246140_R03C02,0.148807366851785,0.147049091675053,0.0152765397808623,0.0515365253001761,0.0631390236640883,0.5624056327592221
GSM1051604_7800246140_R04C02,0.086026856895175,0.142609014960968,-3.8556218065301703e-19,0.0587781320077531,0.0503929968234252,0.658389637002616
GSM1051605_7800246140_R05C02,-2.79943129858532e-19,0.12996743326562302,0.0982698081881658,0.108035772370717,0.0592601786596647,0.590768823083503
GSM1051606_7800246140_R06C02,0.0839161745077232,0.174755879499756,0.0777861431951461,0.18402888390408703,0.0470910947064389,0.431695267783489
GSM1051607_7800246188_R01C01,0.123724784765984,0.0700531968860985,0.0942129483933923,0.0335042156910672,0.0770595948203264,0.613367265120781
GSM1051608_7800246188_R02C01,0.127655295232096,0.174546732454719,0.00976703653652583,0.0753547951009884,0.023128167958636,0.588875814698297
